Hourly,Environment:Site Diffuse Solar Radiation Rate per Area[W/m2],Environment:Site Direct Solar Radiation Rate per Area[W/m2],ESTE:Zone Air Relative Humidity[%],OESTE:Zone Air Relative Humidity[%],ESTE:Zone Air Temperature[C],OESTE:Zone Air Temperature[C]
2006-Jan-01 01:00:00,0.0,0.0,29.21781358268367,29.103107565957544,25.285324400236536,25.351451277459745
2006-Jan-01 02:00:00,0.0,0.0,30.4027190622726,30.29065118408703,24.565906961541174,24.627710299883578
2006-Jan-01 03:00:00,0.0,0.0,31.642846879212893,31.56160379202359,23.89900906364679,23.941853765298493
2006-Jan-01 04:00:00,0.0,0.0,32.86765246593142,32.81181624078331,23.268712064197118,23.296898538987715
2006-Jan-01 05:00:00,0.0,0.0,34.19318792521262,34.15455523077937,22.66940869134582,22.688070985060516
2006-Jan-01 06:00:00,0.0,0.0,35.490375029343106,35.463734949491986,22.089875251907696,22.102208790450803
2006-Jan-01 07:00:00,0.0,0.0,36.730270588504496,36.711470630780724,21.51926807215432,21.527640726707677
2006-Jan-01 08:00:00,38.19444444444445,448.1944444444444,38.04640395500203,38.029638835925525,20.951875883306673,20.959029907402762
2006-Jan-01 09:00:00,71.58333333333333,720.1666666666666,39.23492796726892,39.050485627953634,20.478219385436013,20.55433879598363
2006-Jan-01 10:00:00,85.75,844.25,39.63646463708795,38.86545045729331,20.336059670318793,20.65484867047654
2006-Jan-01 11:00:00,95.75,901.4166666666666,38.90007733450356,37.07824007045695,20.65214611019789,21.435319309060276
2006-Jan-01 12:00:00,102.16666666666667,917.6666666666666,37.374546237110756,34.16779683555327,21.320689556181026,22.79705552334939
2006-Jan-01 13:00:00,123.25,837.5833333333334,35.18171450039032,31.42678668788687,22.332681996021506,24.200839527339983
2006-Jan-01 14:00:00,166.75,670.9166666666666,32.44008690210679,29.124395512542876,23.6755453531338,25.477445959080914
2006-Jan-01 15:00:00,158.75,602.1666666666666,29.947812507034772,27.172005429559118,25.005838832447495,26.646223489002626
2006-Jan-01 16:00:00,103.58333333333333,517.8333333333334,27.792052973324207,25.65379272267845,26.264450994988078,27.62541811025721
2006-Jan-01 17:00:00,56.666666666666664,349.0833333333333,26.024129959545263,24.53688961640651,27.371287198267922,28.37858385012956
2006-Jan-01 18:00:00,17.75,156.66666666666666,24.890979677179264,23.922174704230518,28.11548463162737,28.79839402972343
2006-Jan-01 19:00:00,0.0,0.0,24.307446985829248,23.80135455957772,28.50112184615415,28.863917395681245
2006-Jan-01 20:00:00,0.0,0.0,24.295870845461753,24.102404912301907,28.498770921061976,28.636764955122757
